"Linien_Id","Linienname","VSYS","Linienname_Fahrgastauskunft"
77,"2","T","2"
26,"3","T","3"
25,"4","T","4"
12,"5","T","5"
31,"6","T","6"
30,"7","T","7"
27,"8","T","8"
24,"9","T","9"
32,"10","T","10"
23,"11","T","11"
33,"12","T","12"
20,"13","T","13"
21,"14","T","14"
19,"15","T","15"
7,"17","T","17"
68,"25","SB","25"
18,"31","TR","31"
28,"32","TR","32"
17,"33","TR","33"
62,"34","TR","34"
8,"35","B","35"
81,"37","B","37"
54,"38","B","38"
89,"39","B","39"
11,"40","B","40"
16,"46","TR","46"
56,"61","B","61"
57,"62","B","62"
3,"64","B","64"
42,"66","B","66"
69,"67","B","67"
14,"69","B","69"
55,"70","B","70"
29,"72","TR","72"
79,"73","B","73"
15,"75","B","75"
88,"76","B","76"
85,"77","B","77"
72,"78","B","78"
80,"79","B","79"
22,"80","B","80"
6,"83","B","83"
13,"89","B","89"
84,"91","BP","91"
70,"94","B","94"
10,"161","BZ","161"
101,"162","BZ","162"
102,"163","BZ","163"
9,"165","BZ","165"
46,"184","BZ","184"
45,"185","BZ","185"
36,"301","BL","301"
47,"302","BL","302"
38,"303","BL","303"
34,"304","BL","304"
74,"305","BL","305"
63,"306","BL","306"
82,"307","BL","307"
35,"308","BL","308"
37,"309","BL","309"
64,"311","BL","311"
67,"314","BL","314"
83,"315","BL","315"
65,"325","BL","325"
97,"330","BL","330"
99,"331","BL","331"
51,"341","N","N11"
87,"342","N","N12"
53,"343","N","N13"
92,"344","N","N14"
93,"345","N","N15"
48,"346","N","N16"
49,"347","N","N17"
96,"348","N","N18"
71,"349","N","N19"
90,"352","N","N30"
95,"391","N","N1"
52,"392","N","N2"
86,"394","N","N4"
98,"395","N","N5"
100,"396","N","N6"
50,"397","N","N7"
91,"398","N","N8"
5,"418","FB","S18"
43,"701","BG","701"
75,"703","BG","703"
44,"704","BG","704"
76,"705","BG","705"
41,"743","BG","743"
39,"744","BG","744"
94,"745","BG","745"
40,"751","BG","751"
4,"910","BP","910"
60,"912","BP","912"
66,"916","BP","916"
61,"917","BP","917"
59,"918","BP","918"
58,"919","BP","919"
