"Tagtyp_Id","Tagtypname","Bemerkung"
2,"<Unbenutzt>",
7,"14-A-16","Montag bis Donnerstag, Jahresfahrplan 2016"
11,"14-B-16","Mo-Do, Fahrplanänderung ab 29.02.2016, Linien 61, 62, (Baustelle 7 und 9 bis 3.11.2016)"
13,"14-C-16","Mo-Do, Baustelle Höschgasse  02.05.-29.09.2016, Linie 33"
3,"15-A-16","Montag bis Freitag, Jahresfahrplan 2016"
12,"15-B-16","Mo-Fr, Fahrplanänderung ab 29.02.2016, Linie 40"
14,"15-C-16","Mo-Fr, Fahrplan nach Baustelle (ab 02.05.2016), Linie 916"
6,"55-A-16","Freitag, Jahresfahrplan 2016"
10,"55-B-16","Freitag, Fahrplanänderung ab 04.03.2016, Linien 61, 62, (Baustelle 7 und 9 bis 3.11.2016)"
5,"66-A-16","Samstag, Jahresfahrplan 2016"
9,"66-B-16","Samstag, Fahrplanänderung ab 05.03.2016, Linien 40, 61, 62"
15,"66-C-16","Samstag, Fahrplan nach Baustelle (ab 07.05.2016), Linie 916"
4,"77-A-16","Sonntag, Jahresfahrplan 2016"
8,"77-B-16","Sonntag, Fahrplanänderung ab 06.03.2016, Linien 40, 61, 62"
16,"99-A-16","Mo-Fr, Ferienfahrplan 2016, Linien 5, 6, 32, 46, 80 (18.07.-19.08.2016)"
40000002,"<Unbenutzt>",
